class_name,lang,string_agg
Activist,de,"8611 Humanitärer Aktivistin;Menschenrechts- und Demokratie-Aktivist;Sozialpolitische Aktivistin;Kunstaktivistin;Globaleaktivistin;Social Media Aktivistin;Sozialpolitischer Aktivist;Social Media Aktivist;Demokratischer Aktivist;Menschenrechtler;Soziale Aktivistin;Menschenrechtsaktivist;Sozial Aktivistin;Sozial-Aktivistin;Sozial-Aktivist;Menschenrechtsaktivistin;Menschenrechtlerin;Demokratische Aktivistin;Sozial Aktivist;Sozialer Aktivist;Humanitärer Aktivist;Globalerakitvist;Kunstaktivist;Humanitäre Aktivistin;Menschenrechts- und Demokratie-Aktivistin"
Activist,en,"Activist;Global Activist;Arts Activist;Political Activist;Financial Activist;Community Activist;Social Media Activist;Human Rights and Democratic Activist;Transformational Energy Activist;Social Activist;Humanitarian activist"
Actuary,de,"Pensionsaktuarin;Aktuar im Investment;Investment-Aktuarin;Aktuar;Aktuarin im Investment;Beratung Aktuarin;Chefaktuarin;Beratungsaktuarin;Chefaktuar;Beratungsaktuar;Beratung Aktuar;Aktuarin;Qualifizierte Aktuarin;Pensionsaktuar;Investment-Aktuar;Qualifizierter Aktuar"
Actuary,en,"consulting actuary;pension consulting actuary;investment actuary;Health Actuary;Corporate Pensions Actuary;Pensions Actuary;Qualified Actuary;Actuary"
AdjOther,de,"fertig;höchste;höchsten;letzte;letzter;nächsten;folgend;folgende;folgenden;gefährlich;äußersten;äußerste;letzten;ultimativ;noch eine;andere;anderer;anderen;weitere;weiterer;weiteren;zusätzlich;zusätzlicher;zusätzliche;zusätzlichen;hinzugefügt;hinzugefügte;hinzugefügten;Extra-;ergänzend;ergänzende;ergänzender;ergänzenden;fertige;gegenwärtig;fremden;fremde;fremd;ungewohnten;ungewohnte;ungewohnt;neuen;neue;neu;gegenwärtige;nächste;aktuelle;gegenwärtigen;aktuell;aktuellen;momentan;momentane;momentanen;laufend;laufende;laufenden;derzeitig;derzeitige;derzeitigen;augenblickliche;fertigen;augenblicklichen;jetzige;gefährlicher;gefährliche;gefährliches;gefährlichem;gefährlichen;jetzigen;neueste;neuesten;letzte;letzten;neuer;neuem;neues;fertiger;bereit;bereite;bereiten;klaren;klare;klar;klarer;erkennbar;erkennbare;erkennbaren;offensichtlich;offensichtliche;offensichtlichen;sichtbar;sichtbare;sichtbaren;ersichtlich;ersichtliche;ersichtlichen;offenkundig;offenkundige;offenkundigen;explizit;explizite;expliziten;definit;definite;definiten;deutlich;deutliche;deutlichen;transparent;transparente;transparenten;ultimative;ultimativer;ultimativen"
AdjOther,en,"supplementary;additional;extra;next;another;evident apparent;explicit;definite;self-evident;distinct;final;dangerous;supplemental;ultimate;last;added;latest;ready;clear;recent;current;new;transparent;precise;obvious"
AdminDept,en,"Administrative support services;Admin;Administration;Administrators;Operational Support;Administrative"
Administrator,de,"Administratorin;Finanzielle Administratorin;Kredit-Administratorin;Fondsadministratorin;Technische Administratorin;Netzwerkadministratorin;Gruppenadministratorin;Garantie-Administratorin;Gruppenverwalterin;Verkehr Administratorin;Bürokauffrau;Krankenhausverwalterin;HR-Administratorin;Gruppenverwalter;Krankenhausverwalter;Systembetreuerin;Systemadministratorin;Sportadministratorin;Sozialhilfe Administratorin;Kindertagesstätte Administrator;Schuladministratorin;Salesadministratorin;Regeladministratorin;HR-Administrator;Vermögensverwalterin;Projektverwalterin;Portfolio-Administratorin;Personalsachbearbeiterin;Auftragsverwalterin;Auftrag-Verwalterin;Akademische Administratorin;Flughafen-Administratorin;Flughafen Administratorin;Flughafenadministratorin;Fachwirtin;Kindertagesstätte Administratorin;Client Administratorin;Vertragsverwalterin;Gerichtsverwalterin;Datenbankadministratorin;Grundschule Administratorin;IT-Administrator;Fachwirt;Webadministratorin;Garantie Administratorin;Administrator;Finanzieller Administrator;Kredit-Administrator;Fondsadministrator;Technischer Administrator;Netzwerkadministrator;Akademischer Administrator;Flughafen-Administrator;Flughafen Administrator;Flughafenadministrator;Social-Media-Administratorin;Client Administrator;Vertragsverwalter;Gerichtsverwalter;Bürokaufmann;Auftrag-Verwalter;Auftragsverwalter;Personalsachbearbeiter;Portfolio-Administrator;Projektverwalter;Vermögensverwalter;Regeladministrator;Salesadministrator;Schuladministrator;Social-Media-Administrator;Mietvertrag Administrator;Datenbankadministrator;Grundschule Administrator;Gruppenadministrator;Sozialhilfe Administrator;Sportadministrator;Systemadministrator;Systembetreuer;Verkehr Administrator;Garantie-Administrator;Websiteadministratorin;IT-Administratorin;Mietvertrag Administratorin;Garantie Administrator;Webadministrator;Websiteadministrator"
Administrator,en,"Risk Management administrator;Risk Events Administrator;Risk Control Administrator;Risk Claims Administrator;Risk Benefit Administrator;Risk and Legal Administrator;Risk and Fraud Administrator;Risk and Fleet administrator;Risk and Contracts Administrator;Risk and Compliance Administrator;RISK and Collections Administrator;Risk Administrator;Registrar Administrator;Radio & TV Station Administrator;Property Administrator;Project Management Administrator;Project Administrator;Programme and Portfolio Administrators;Preschool Administrator;Portolio Administrator;Debt and Risk Administrator;Dental / Orthodontic Office Administrator;Development - Risk Rules Administrator;Contract Administrator;Content Administrator;Compliance and Risk Administrator;Compliance and Governance Administrator;Compensation Administrator;Clinical risk Administrator;Easy Roster Administrator;client administrator;Child Care Center Administrator;Catering Administrator;Business Risk Administrator;Business Administrator;Airport Administrator;Airline Flight Reservations Administrator;Airline Flight Operations Administrator;Airline Flight Control Administrator;Agricultural Administrator;Administrator-Risk Operation Support;Education and Training Administrator;Administrator Risk and Retirement;Administrator -Risk and Insurance;Accounts Administrator-Risk Management;academic administrator;Network Administrator;Technical Administrator;Fund Administrator;Credit Administrator;Domestic Sales Administrator;Financial Administrator;Admin;Administrator;credit risk administrator;Credi Risk Administrator;Court Administrator;Educational Administrator;Elementary School Administrator;Employment Administrator;Emporium Trader Administrator;Event Administrator;Finance Administrator;Fleet Administrator;Fund administrator;Funds Development Administrator;Games Administrator;Gorvenance Administrator;Operational Risk Administrator;Order Administrator;Payroll Administrator;Personnel Administrator;Portfolio Administrator;Portfolio and Trading Systems Administrator;Student Financial Aid Administrator;Student Affairs Administrator;Student Admissions Administrator;Sports Administrator;Special Education Administrator;Solid Waste Disposal Administrator;Social Welfare Administrator;social media administrator;Seniour Group Risk Administrator;School Administrator;Sales Administrator;Rules Administrator;Risk System Administrator;Risk Solutions Administrator;Risk Sentinel Administrator;Risk Portfolio Administrator;Risk Insurance Administrator;Governance Administrator;Group Administrator;Group Risk Administrator;Group Risk Scheme Administrator;Group Risk Schemes Administrator;Hedge Fund Administrator;High School Administrator;Historic Site Administrator;Hospital Administrator;HR Administrator;Insurance Administrator;Integrated Risk Management Administrator;Internal Risk Administrator;International Teams Administrator;IT Administrator;Sysadmin;Vice Provost;Provost;Website Administrator;Web Administrator;waranty Administrator;Traffic Administrator;Trader Administrator;Systems Administrator;System Administrator;IT Risk Administrator;ITS Administrator;Lease Administrator;Listed Fund Administrator;Database Administrator;Local Pricing Administrator;Manager Group Risk Administrator;Marina Boat Charter Administrator;MBS Account Administrator;Medical Records Administrator;Middle School Administrator;Monitoring and Evaluation and Risk Administrator;National Risk Administrator;Office Administrator;Offshore Fund Administrator;Online Community Administrator"
Adopt,de,"verabschieden;anzunehmen;angenommen;annehmen;verabschiedet"
Adopt,en,"adopts;adopting;adopted;adopt"
Adoptation,de,"verabschiedungen;verabschiedung"
Adoptation,en,"adoptation;adoptations"
Advisor,de,"beraterin;berater;36014 verwalterin;22766 verwalter"
Advisor,en,"adviser;advisor"
Aerospace,en,"aircraft;aircraft parts;helicopters;aircrafts"
Affect,de,"beeinflussungen;betreffen;betrifft;betraf;betrafen;betroffen;einwirken;wirkt;wirken;beeinflussen;beeinflusst;beeinflusste;beeinflussten;einfluss;einflüsse;einflüssen;einwirkung;einwirkungen;beeinflussung;einflussnahme;beeinträchtigungen;beeinträchtigung;beeinträchtigten;beeinträchtigte;beeinträchtigt;beeinträchtigen;verursachen;verursacht;verursachte;verursachten;bewirken;bewirkten;bewirkte;bewirkt"
Affect,en,"impacts;affected;affect;impact;cause;causes;causing;influences;influence;affecting;impacting;influenced;impacted;affects;caused;influencing"
Agreement,de,"Einigung;vereinbarte;vereinbart;;Kontrakt;Übereinstimmung;Übereinstimmungen;kontrakte;vertrag;vertrages;vertrags;Abmachung;Einigungs;Einigung;Übereinkünfte;Übereinkunft;Einverständnisse;Einverständnis;Einigkeit;Abmachungs;Abmachungen;Zusicherungen;Einigkeiten;verträge;Übereinstimmungs;Abkommen;Abkommens;Übereinkommen;Übereinkommens;Zusicherung;Einigungs;vereinbaren;Vereinbarungen;Vereinbarung;absprache"
Agreement,en,"accords;contract;indenture;agreements;contracts;agreement;accord;agmts;agmt;covenant;indentures;covenants"
